finestep,time,c_0,c_1,c_2,c_3,c_4,temp,c_mean
10305,0.03177690505981445,-20,-22,-19,-20,-21,21.3,-20.4
10366,0.25513601303100586,-22,-23,-23,-21,-22,21.3,-22.2
10426,0.3669557571411133,-24,-21,-23,-23,-23,21.3,-22.8
10486,0.4786996841430664,-22,-24,-24,-25,-23,21.3,-23.6
10546,0.5903286933898926,-23,-23,-23,-23,-24,21.3,-23.2
10605,0.7015037536621094,-25,-25,-23,-24,-24,21.3,-24.2
10671,0.7980411052703857,-24,-23,-25,-26,-24,21.3,-24.4
10741,0.8941919803619385,-26,-24,-25,-25,-26,21.3,-25.2
10812,1.0058257579803467,-24,-23,-22,-25,-24,21.3,-23.6
10876,1.1010947227478027,-25,-25,-26,-26,-26,21.3,-25.6
10939,1.1976230144500732,-25,-24,-23,-27,-28,21.3,-25.4
10996,1.292304515838623,-24,-26,-26,-25,-25,21.3,-25.2
11051,1.388331651687622,-25,-25,-27,-26,-26,21.3,-25.8
11099,1.4840443134307861,-27,-25,-26,-26,-27,21.3,-26.2
11143,1.5806057453155518,-26,-25,-25,-26,-25,21.3,-25.4
11187,1.676633596420288,-24,-26,-25,-27,-26,21.3,-25.6
11226,1.771806240081787,-26,-26,-25,-27,-28,21.3,-26.4
11263,1.8677775859832764,-26,-25,-27,-26,-26,21.3,-26.0
11299,1.9635498523712158,-26,-26,-27,-27,-25,21.3,-26.2
11332,2.0600945949554443,-28,-26,-26,-26,-25,21.3,-26.2
11364,2.1557538509368896,-25,-25,-28,-25,-25,21.3,-25.6
11396,2.2516627311706543,-26,-29,-28,-27,-27,21.3,-27.4
11429,2.347503185272217,-24,-25,-25,-28,-25,21.3,-25.4
11468,2.443131685256958,-28,-27,-26,-26,-27,21.3,-26.8
11509,2.539194107055664,-26,-27,-25,-27,-25,21.3,-26.0
11552,2.634068012237549,-27,-28,-27,-29,-26,21.3,-27.4
11597,2.745734930038452,-28,-28,-28,-26,-27,21.3,-27.4
11645,2.8416502475738525,-28,-26,-27,-27,-29,21.3,-27.4
11691,2.93837571144104,-27,-28,-27,-26,-26,21.3,-26.8
11737,3.0342636108398438,-28,-27,-26,-28,-27,21.3,-27.2
11780,3.1292946338653564,-30,-29,-28,-29,-27,21.3,-28.6
11819,3.225332260131836,-27,-29,-30,-27,-28,21.3,-28.2
11853,3.3366801738739014,-30,-25,-29,-27,-29,21.3,-28.0
11881,3.433504581451416,-28,-30,-28,-29,-27,21.3,-28.4
11908,3.529289484024048,-27,-28,-28,-29,-28,21.3,-28.0
11932,3.624911069869995,-29,-29,-29,-29,-27,21.3,-28.6
11954,3.721102476119995,-27,-28,-28,-29,-28,21.3,-28.0
11975,3.8167026042938232,-31,-30,-30,-27,-27,21.3,-29.0
11992,3.912743091583252,-31,-26,-28,-30,-28,21.3,-28.6
12009,4.0079615116119385,-29,-28,-29,-30,-27,21.3,-28.6
12024,4.119508504867554,-29,-29,-28,-27,-28,21.3,-28.2
12038,4.2162299156188965,-29,-30,-31,-29,-28,21.3,-29.4
12050,4.311583042144775,-30,-28,-29,-29,-30,21.3,-29.2
12067,4.407823801040649,-27,-29,-29,-30,-29,21.3,-28.8
12088,4.503549098968506,-28,-29,-28,-28,-29,21.3,-28.4
12112,4.598785638809204,-28,-29,-28,-29,-31,21.3,-29.0
12139,4.710939645767212,-32,-29,-29,-29,-28,21.3,-29.4
12174,4.80678391456604,-29,-30,-29,-30,-27,21.3,-29.0
12213,4.902752876281738,-29,-31,-30,-28,-32,21.3,-30.0
12254,4.998657941818237,-28,-31,-29,-29,-30,21.3,-29.4
12300,5.094426393508911,-29,-29,-30,-28,-28,21.3,-28.8
12348,5.19041633605957,-29,-31,-31,-29,-30,21.3,-30.0
12397,5.285936594009399,-30,-29,-30,-29,-31,21.3,-29.8
12448,5.381931781768799,-30,-30,-29,-29,-29,21.3,-29.4
12498,5.493770599365234,-30,-29,-30,-31,-32,21.3,-30.4
12550,5.588745594024658,-30,-31,-33,-29,-29,21.3,-30.4
12604,5.684696435928345,-30,-29,-30,-30,-29,21.3,-29.6
12657,5.781279563903809,-30,-30,-30,-30,-31,21.3,-30.2
12709,5.876962900161743,-30,-31,-30,-31,-31,21.3,-30.6
12760,5.972963333129883,-31,-31,-30,-32,-32,21.3,-31.2
12809,6.068804502487183,-32,-30,-29,-33,-31,21.3,-31.0
12855,6.164652585983276,-34,-32,-30,-31,-32,21.3,-31.8
12898,6.260353326797485,-29,-31,-30,-35,-32,21.3,-31.4
12938,6.356231212615967,-32,-32,-31,-33,-32,21.3,-32.0
12973,6.4682300090789795,-30,-31,-30,-32,-31,21.3,-30.8
13003,6.563089370727539,-31,-30,-31,-30,-30,21.3,-30.4
13028,6.675604343414307,-32,-31,-31,-33,-31,21.3,-31.6
13055,6.7714738845825195,-30,-32,-32,-33,-35,21.3,-32.4
13084,6.867415904998779,-33,-32,-31,-31,-31,21.3,-31.6
13114,6.962833404541016,-32,-31,-33,-31,-30,21.3,-31.4
13144,7.058408975601196,-32,-31,-31,-33,-33,21.3,-32.0
13170,7.1541221141815186,-32,-31,-30,-31,-31,21.3,-31.0
13196,7.249837398529053,-33,-32,-30,-32,-31,21.3,-31.6
13221,7.345878839492798,-31,-32,-32,-32,-31,21.3,-31.6
13248,7.44171142578125,-32,-31,-32,-31,-31,21.3,-31.4
13279,7.538119316101074,-34,-31,-31,-33,-33,21.3,-32.4
13311,7.633957862854004,-33,-34,-30,-34,-34,21.3,-33.0
13348,7.729758262634277,-33,-33,-33,-33,-34,21.3,-33.2
13388,7.825416564941406,-32,-32,-34,-33,-33,21.3,-32.8
13435,7.920896291732788,-33,-33,-33,-34,-33,21.3,-33.2
13481,8.016337871551514,-32,-34,-33,-33,-34,21.3,-33.2
13532,8.112974643707275,-34,-34,-31,-32,-30,21.3,-32.2
13588,8.208996057510376,-31,-34,-34,-33,-32,21.3,-32.8
13648,8.304769039154053,-35,-34,-35,-32,-34,21.3,-34.0
13706,8.400383472442627,-32,-33,-34,-33,-33,21.3,-33.0
13765,8.496318578720093,-35,-32,-35,-34,-34,21.3,-34.0
13823,8.591737270355225,-36,-33,-35,-33,-34,21.3,-34.2
13878,8.687379598617554,-33,-35,-33,-34,-35,21.3,-34.0
13931,8.783813714981079,-34,-36,-33,-35,-34,21.3,-34.4
13984,8.879708051681519,-34,-34,-35,-34,-32,21.3,-33.8
14037,8.975294589996338,-35,-34,-32,-34,-33,21.3,-33.6
14090,9.070958375930786,-34,-34,-35,-34,-37,21.3,-34.8
14138,9.166890382766724,-35,-34,-34,-36,-34,21.3,-34.6
14185,9.262868404388428,-35,-35,-35,-34,-33,21.3,-34.4
14235,9.374728202819824,-35,-36,-37,-35,-35,21.3,-35.6
14285,9.470608949661255,-33,-35,-34,-34,-34,21.3,-34.0
14338,9.566331148147583,-35,-36,-39,-36,-34,21.3,-36.0
14389,9.662160634994507,-37,-36,-37,-35,-36,21.3,-36.2
14441,9.773268461227417,-34,-36,-38,-35,-35,21.3,-35.6
14491,9.869943380355835,-33,-35,-38,-35,-36,21.3,-35.4
14539,9.965633630752563,-35,-36,-37,-36,-36,21.3,-36.0
14589,10.06154751777649,-35,-37,-36,-36,-36,21.3,-36.0
14641,10.157166719436646,-36,-36,-36,-38,-35,21.3,-36.2
14695,10.253125429153442,-36,-36,-35,-36,-36,21.3,-35.8
14750,10.365021705627441,-37,-37,-34,-36,-36,21.3,-36.0
14807,10.460851192474365,-37,-36,-36,-35,-38,21.3,-36.4
14861,10.57198715209961,-38,-37,-36,-36,-36,21.3,-36.6
14915,10.683786869049072,-38,-36,-38,-38,-37,21.3,-37.4
14970,10.796262741088867,-35,-37,-39,-36,-37,21.3,-36.8
15026,10.892067670822144,-36,-38,-36,-38,-36,21.3,-36.8
15080,10.98778247833252,-36,-37,-37,-37,-38,21.3,-37.0
15132,11.099050045013428,-36,-38,-37,-38,-38,21.3,-37.4
15180,11.210532188415527,-38,-40,-39,-38,-38,21.3,-38.6
15225,11.307264804840088,-38,-39,-38,-38,-39,21.3,-38.4
15265,11.402812004089355,-38,-38,-38,-38,-39,21.3,-38.2
15303,11.513977766036987,-40,-38,-38,-39,-41,21.3,-39.2
15336,11.610039472579956,-38,-39,-36,-38,-36,21.3,-37.4
15365,11.705788850784302,-38,-38,-36,-39,-40,21.3,-38.2
