finestep,time,c_0,c_1,c_2,c_3,c_4,temp,c_mean
-8705.6640625,0.0139617919921875,24,27,22,27,22,21.0,24.4
-8699.3828125,0.10983800888061523,21,23,19,25,25,21.0,22.6
-8694.3203125,0.20660734176635742,21,19,19,17,25,21.0,20.2
-8689.1171875,0.3021681308746338,21,23,22,23,20,21.0,21.8
-8683.203125,0.39825987815856934,19,21,25,22,24,21.0,22.2
-8679.609375,0.4941399097442627,22,23,21,21,18,21.0,21.0
-8675.0546875,0.5899231433868408,19,22,22,22,24,21.0,21.8
-8669.1171875,0.6857540607452393,22,18,24,19,19,21.0,20.4
-8658.859375,0.781456470489502,22,20,22,23,24,21.0,22.2
-8644.640625,0.87746262550354,17,23,21,22,20,21.0,20.6
-8631.859375,0.9728281497955322,23,22,21,25,23,21.0,22.8
-8619.2734375,1.069300889968872,25,22,24,20,19,21.0,22.0
-8610.4453125,1.1645770072937012,21,19,21,21,22,21.0,20.8
-8605.9921875,1.2611782550811768,18,23,22,25,24,21.0,22.4
-8605.75,1.3566443920135498,22,23,23,20,20,21.0,21.6
-8607.9296875,1.452307939529419,24,23,22,20,22,21.0,22.2
-8611.359375,1.5480263233184814,20,22,25,21,22,21.0,22.0
-8619.2734375,1.6440510749816895,18,19,22,23,23,21.0,21.0
-8633.953125,1.7404453754425049,20,21,24,22,22,21.0,21.8
-8654.2734375,1.836646556854248,22,22,24,22,23,21.0,22.6
-8679.40625,1.9325404167175293,25,22,25,23,23,21.0,23.6
-8711.6328125,2.0277910232543945,22,20,19,23,20,21.0,20.8
-8747.4296875,2.1399292945861816,19,23,21,23,19,21.0,21.0
-8783.609375,2.235585927963257,20,22,23,23,20,21.0,21.6
-8824.6796875,2.331845760345459,22,20,22,23,23,21.0,22.0
-8868.484375,2.427755117416382,20,25,24,23,22,21.0,22.8
-8914.234375,2.5237085819244385,21,19,21,20,23,21.0,20.8
-8966.46875,2.6194446086883545,24,21,20,23,24,21.0,22.4
-9021.421875,2.714869976043701,21,20,24,19,24,21.0,21.6
-9080.515625,2.811295747756958,20,23,24,22,19,21.0,21.6
-9143.7265625,2.9070980548858643,16,20,23,22,20,21.0,20.2
-9209.3671875,3.0023980140686035,22,24,24,23,19,21.0,22.4
-9273.1640625,3.0982906818389893,24,19,20,24,22,21.0,21.8
-9339.5234375,3.1943202018737793,22,20,22,24,25,21.0,22.6
-9401.8828125,3.2903380393981934,22,22,18,23,21,21.0,21.2
-9460.7109375,3.3862109184265137,24,21,23,20,21,21.0,21.8
-9514.0,3.4822230339050293,20,25,20,23,21,21.0,21.8
