,finestep,counter,ascending,range_exponent,start,direction
0,0,-0.2,False,15,0,up
1,16,0.6,False,15,0,up
2,32,0.8,False,15,0,up
3,48,0.0,False,15,0,up
4,64,-0.2,False,15,0,up
5,80,0.4,False,15,0,up
6,96,0.6,False,15,0,up
7,112,1.0,False,15,0,up
8,128,0.4,False,15,0,up
9,144,0.6,False,15,0,up
10,160,-0.8,False,15,0,up
11,176,-0.6,False,15,0,up
12,192,-0.2,False,15,0,up
13,208,-0.8,False,15,0,up
14,224,-0.4,False,15,0,up
15,240,-0.6,False,15,0,up
16,256,-0.2,False,15,0,up
17,272,-0.6,False,15,0,up
18,288,0.4,False,15,0,up
19,304,0.0,False,15,0,up
20,320,-0.2,False,15,0,up
21,336,0.0,False,15,0,up
22,352,-0.6,False,15,0,up
23,368,-0.6,False,15,0,up
24,384,-0.4,False,15,0,up
25,400,-0.2,False,15,0,up
26,416,-1.6,False,15,0,up
27,432,0.2,False,15,0,up
28,448,-1.6,False,15,0,up
29,464,0.6,False,15,0,up
30,480,-0.8,False,15,0,up
31,496,0.0,False,15,0,up
32,512,-0.6,False,15,0,up
33,528,-1.2,False,15,0,up
34,544,-0.8,False,15,0,up
35,560,-0.4,False,15,0,up
36,576,-0.4,False,15,0,up
37,592,0.0,False,15,0,up
38,608,0.0,False,15,0,up
39,624,-0.2,False,15,0,up
40,640,-1.2,False,15,0,up
41,656,-2.0,False,15,0,up
42,672,-0.8,False,15,0,up
43,688,-1.2,False,15,0,up
44,704,-0.8,False,15,0,up
45,720,-0.4,False,15,0,up
46,736,-0.8,False,15,0,up
47,752,-1.2,False,15,0,up
48,768,-1.4,False,15,0,up
49,784,-1.0,False,15,0,up
50,800,-0.8,False,15,0,up
51,816,-1.0,False,15,0,up
52,832,-1.6,False,15,0,up
53,848,-2.0,False,15,0,up
54,864,-1.6,False,15,0,up
55,880,-1.2,False,15,0,up
56,896,-2.0,False,15,0,up
57,912,-0.4,False,15,0,up
58,928,-1.0,False,15,0,up
59,944,-0.4,False,15,0,up
60,960,-0.8,False,15,0,up
61,976,-1.6,False,15,0,up
62,992,-1.0,False,15,0,up
63,1008,-0.2,False,15,0,up
64,1024,-1.0,False,15,0,up
65,1040,-2.4,False,15,0,up
66,1056,-1.0,False,15,0,up
67,1072,-0.2,False,15,0,up
68,1088,-2.2,False,15,0,up
69,1104,-2.2,False,15,0,up
70,1120,-0.4,False,15,0,up
71,1136,-2.0,False,15,0,up
72,1152,-0.2,False,15,0,up
73,1168,-1.4,False,15,0,up
74,1184,-1.8,False,15,0,up
75,1200,-0.8,False,15,0,up
76,1216,-1.2,False,15,0,up
77,1232,-1.6,False,15,0,up
78,1248,-2.6,False,15,0,up
79,1264,-2.4,False,15,0,up
80,1280,-2.2,False,15,0,up
81,1296,-2.0,False,15,0,up
82,1312,-1.8,False,15,0,up
83,1328,-1.8,False,15,0,up
84,1344,-2.0,False,15,0,up
85,1360,-2.6,False,15,0,up
86,1376,-2.4,False,15,0,up
87,1392,-2.6,False,15,0,up
88,1408,-2.0,False,15,0,up
89,1424,-1.4,False,15,0,up
90,1440,-2.8,False,15,0,up
91,1456,-2.0,False,15,0,up
92,1472,-1.8,False,15,0,up
93,1488,-1.6,False,15,0,up
94,1504,-1.6,False,15,0,up
95,1520,-2.4,False,15,0,up
96,1536,-2.4,False,15,0,up
97,1552,-3.0,False,15,0,up
98,1568,-2.4,False,15,0,up
99,1584,-2.2,False,15,0,up
100,1600,-3.0,False,15,0,up
101,1616,-2.0,False,15,0,up
102,1632,-2.6,False,15,0,up
103,1648,-3.0,False,15,0,up
104,1664,-2.8,False,15,0,up
105,1680,-2.2,False,15,0,up
106,1696,-3.2,False,15,0,up
107,1712,-3.4,False,15,0,up
108,1728,-2.8,False,15,0,up
109,1744,-3.4,False,15,0,up
110,1760,-2.6,False,15,0,up
111,1776,-3.0,False,15,0,up
112,1792,-2.8,False,15,0,up
113,1808,-3.4,False,15,0,up
114,1824,-3.4,False,15,0,up
115,1840,-3.6,False,15,0,up
116,1856,-2.6,False,15,0,up
117,1872,-2.6,False,15,0,up
118,1888,-2.2,False,15,0,up
119,1904,-3.2,False,15,0,up
120,1920,-2.0,False,15,0,up
121,1936,-3.4,False,15,0,up
122,1952,-3.0,False,15,0,up
123,1968,-3.4,False,15,0,up
124,1984,-3.8,False,15,0,up
125,2000,-3.4,False,15,0,up
126,2016,-3.2,False,15,0,up
127,2032,-2.8,False,15,0,up
128,2048,-3.4,False,15,0,up
129,2064,-2.6,False,15,0,up
130,2080,-4.0,False,15,0,up
131,2096,-3.6,False,15,0,up
132,2112,-3.4,False,15,0,up
133,2128,-3.4,False,15,0,up
134,2144,-2.8,False,15,0,up
135,2160,-3.2,False,15,0,up
136,2176,-4.0,False,15,0,up
137,2192,-3.2,False,15,0,up
138,2208,-3.8,False,15,0,up
139,2224,-2.4,False,15,0,up
140,2240,-4.4,False,15,0,up
141,2256,-3.0,False,15,0,up
142,2272,-3.4,False,15,0,up
143,2288,-3.6,False,15,0,up
144,2304,-4.0,False,15,0,up
145,2320,-3.2,False,15,0,up
146,2336,-3.6,False,15,0,up
147,2352,-4.4,False,15,0,up
148,2368,-4.2,False,15,0,up
149,2384,-4.2,False,15,0,up
150,2400,-4.4,False,15,0,up
151,2416,-4.2,False,15,0,up
152,2432,-3.6,False,15,0,up
153,2448,-4.0,False,15,0,up
154,2464,-3.2,False,15,0,up
155,2480,-4.2,False,15,0,up
156,2496,-4.2,False,15,0,up
157,2512,-5.2,False,15,0,up
158,2528,-5.4,False,15,0,up
159,2544,-3.8,False,15,0,up
160,2560,-4.8,False,15,0,up
161,2576,-5.2,False,15,0,up
162,2592,-4.0,False,15,0,up
163,2608,-3.6,False,15,0,up
164,2624,-5.0,False,15,0,up
165,2640,-5.6,False,15,0,up
166,2656,-4.4,False,15,0,up
167,2672,-4.8,False,15,0,up
168,2688,-4.8,False,15,0,up
169,2704,-4.2,False,15,0,up
170,2720,-5.4,False,15,0,up
171,2736,-5.0,False,15,0,up
172,2752,-5.2,False,15,0,up
173,2768,-5.2,False,15,0,up
174,2784,-4.8,False,15,0,up
175,2800,-4.0,False,15,0,up
176,2816,-5.2,False,15,0,up
177,2832,-4.6,False,15,0,up
178,2848,-4.4,False,15,0,up
179,2864,-6.2,False,15,0,up
180,2880,-5.6,False,15,0,up
181,2896,-4.8,False,15,0,up
182,2912,-4.8,False,15,0,up
183,2928,-6.0,False,15,0,up
184,2944,-4.8,False,15,0,up
185,2960,-4.8,False,15,0,up
186,2976,-5.2,False,15,0,up
187,2992,-5.8,False,15,0,up
188,3008,-5.0,False,15,0,up
189,3024,-5.6,False,15,0,up
190,3040,-5.6,False,15,0,up
191,3056,-5.4,False,15,0,up
192,3072,-6.6,False,15,0,up
193,3088,-5.2,False,15,0,up
194,3104,-5.2,False,15,0,up
195,3120,-6.4,False,15,0,up
196,3136,-5.4,False,15,0,up
197,3152,-6.0,False,15,0,up
198,3168,-6.8,False,15,0,up
199,3184,-6.2,False,15,0,up
200,3200,-6.6,False,15,0,up
201,3216,-5.8,False,15,0,up
202,3232,-6.8,False,15,0,up
203,3248,-5.6,False,15,0,up
204,3264,-6.6,False,15,0,up
205,3280,-6.4,False,15,0,up
206,3296,-5.6,False,15,0,up
207,3312,-6.4,False,15,0,up
208,3328,-6.6,False,15,0,up
209,3344,-5.2,False,15,0,up
210,3360,-6.0,False,15,0,up
211,3376,-6.8,False,15,0,up
212,3392,-6.4,False,15,0,up
213,3408,-5.2,False,15,0,up
214,3424,-6.0,False,15,0,up
215,3440,-6.0,False,15,0,up
216,3456,-6.0,False,15,0,up
217,3472,-6.4,False,15,0,up
218,3488,-6.6,False,15,0,up
219,3504,-6.8,False,15,0,up
220,3520,-6.6,False,15,0,up
221,3536,-5.6,False,15,0,up
222,3552,-7.0,False,15,0,up
223,3568,-7.2,False,15,0,up
224,3584,-7.0,False,15,0,up
225,3600,-6.2,False,15,0,up
226,3616,-6.0,False,15,0,up
227,3632,-7.8,False,15,0,up
228,3648,-7.2,False,15,0,up
229,3664,-8.0,False,15,0,up
230,3680,-6.8,False,15,0,up
231,3696,-6.6,False,15,0,up
232,3712,-6.4,False,15,0,up
233,3728,-7.2,False,15,0,up
234,3744,-7.2,False,15,0,up
235,3760,-6.8,False,15,0,up
236,3776,-7.4,False,15,0,up
237,3792,-6.8,False,15,0,up
238,3808,-7.4,False,15,0,up
239,3824,-7.6,False,15,0,up
240,3840,-7.4,False,15,0,up
241,3856,-7.2,False,15,0,up
242,3872,-7.6,False,15,0,up
243,3888,-7.4,False,15,0,up
244,3904,-8.0,False,15,0,up
245,3920,-7.8,False,15,0,up
246,3936,-7.6,False,15,0,up
247,3952,-8.4,False,15,0,up
248,3968,-8.2,False,15,0,up
249,3984,-7.8,False,15,0,up
250,4000,-7.6,False,15,0,up
251,4016,-8.2,False,15,0,up
